sup,eri,ont,mih,month,year
1404.1751594149503,313.70631456528565,733.7343043308034,2405.339815352667,11,2024
170.04485541822964,1015.0239091977066,1105.6466285049428,2680.661819168174,12,2024
-1141.459487967391,771.7302943487944,1060.5546637213215,558.6375308134175,1,2025
-353.0730569647492,624.7880559840626,744.4107610176983,1187.4956655792034,2,2025
793.8494202902409,1127.1841239543917,1322.2516067112967,3948.9744680744716,3,2025
50.283701925794276,1090.3740461004804,1209.9371856224698,2123.7323795831903,4,2025
591.7841317355756,150.89789497434924,374.5096441899552,551.4258286175991,5,2025
497.91399958358977,-531.2535776793231,231.98062325716353,1280.475048488947,10,2024
-1104.6046370453537,-3.8592645849491873,1102.8620826089625,1322.902296614292,11,2024
-989.6106636936365,2783.0580901925214,2155.7917095900725,2697.3966065629043,12,2024
-166.74410443701981,705.341447963693,1155.6443924274167,3043.121258985313,1,2025
-841.659064484797,815.5734638865871,977.6262426968565,761.9789802740233,2,2025
-871.526094246824,1583.486936751084,1538.8961793221958,2841.9345278393994,3,2025
578.9553439186019,2364.753450188566,2243.0452016301897,6484.029888694775,4,2025
2606.0346013854287,873.9367925340594,1049.944326083196,1835.717621276008,5,2025
-147.88121253043823,983.3844100452482,2154.120215525837,3387.6856914951495,10,2024
-296.1099163316851,957.9905306905644,1456.2457768666661,4700.594360044372,11,2024
-740.7630994817655,2825.8062387923865,2221.796617353576,3374.472285198065,12,2024
-957.1288954101165,232.71919313313424,810.9792151187105,1170.1150979832075,1,2025
-279.88345764246696,369.6928327714974,674.5872516806819,1029.6247140541107,2,2025
295.9246582400426,2287.012953352301,2436.1995564493072,8212.836341870852,3,2025
4228.139676980145,1103.2271562402204,1002.0496864545514,4421.151209587939,4,2025
1134.2787797970218,749.4564178229392,606.3330084863621,1368.6384131985083,5,2025
-209.29307790185953,-227.36856142459442,776.9877677900743,-213.2307607657317,10,2024
-268.2029896947122,141.08497259631747,760.1951395311395,1515.9788456665738,11,2024
53.50015560032193,1979.5159555986922,2107.4619180948253,4798.045257919233,12,2024
-70.78695057364007,857.5550967417737,1636.9518130360116,3667.7565474750504,1,2025
46.95203590295387,1088.0119425409453,1257.236878500762,2238.749599958891,2,2025
-908.854502807379,1173.7186916122525,1347.4514769892496,1436.2933749007016,3,2025
1821.7988479081996,1976.0994449908096,2354.1456426749965,8865.718525932174,4,2025
2265.082913062556,59.24290582390768,563.0262191204022,3188.149463966893,5,2025
-439.63151117010716,156.49606753736543,1105.0794983301985,0.46099002287201074,10,2024
1404.3921765942473,758.3454105486828,1370.712027928226,3905.421774771215,11,2024
-242.77002762160032,1063.2102966223856,1426.130510399837,4540.249495252807,12,2024
