SU_ID,ER_ID,ON_ID,MIHU_ID
41044817,9840182,21633973,41016689
41044828,9840206,21633977,41016703
41044832,9840456,21633979,41016766
41044833,9840484,21634101,41016768
41044834,9840494,21632333,41016859
41044844,9840656,21632321,41016887
41044849,9840578,21623961,41016968
41044850,9840580,21623457,41017025
41044852,9840584,21623903,41017069
41044853,9840618,21623951,41017126
41044858,9841482,21632425,41017155
41044866,9841556,904140162,41017215
41044906,9841518,904140164,41017220
41045009,9841566,27809949,41017239
41045133,9840610,904140166,41017253
41045143,9841470,21623817,41017256
41045227,9841632,21623979,41017257
41045334,9841720,21624085,41017274
41045374,9841744,21623949,41017313
41045486,15581895,21623157,41017321
41045567,15575387,21623483,41017329
41045602,15575059,21623549,41017345
41045683,15575325,21623781,41017381
41045752,15576709,21623809,41017384
41045789,15575083,21625515,41017385
41045895,15575249,21623665,41017393
41045917,15576373,21623971,41017437
41045976,15575259,21623991,41017462
41046013,15575305,21623985,41017489
41046087,15575341,21623815,41017492
41046091,15575389,21623737,41017514
41046139,15576693,21625551,41017530
41046165,15576699,21624041,41017552
41046185,15576703,904140088,41017557
41046244,15576743,21972746,41017558
41046257,15576745,15506742,41017605
41046286,15576459,15506514,41017620
41046337,10850066,15505290,41017639
41046355,13175611,15505362,41017660
41046386,13175609,15505152,41017668
41046509,13175619,15506492,41017670
41046532,166764013,15505224,41017690
41046591,10850320,15505184,41017703
41046658,10850322,15505144,41017713
41046758,10850062,15505190,41017739
41046811,10850060,15505182,41017786
41046929,10850392,15505186,41017787
41046975,10850052,15506510,41017797
41046985,10850058,15506512,41017802
41046991,10850054,15506490,41017821
41047014,,15506498,41017837
41047033,,15506530,41017840
41047049,,15506550,41017841
41047050,,15506554,41017856
41047060,,15506560,41017902
41047106,,15506644,41017907
41047121,,15505188,41017911
41047125,,15505358,41017912
41047133,,15505286,41017935
41047152,,15505106,41017956
41047172,,15505150,41017965
41047175,,15505206,41018018
41047179,,15505180,41018029
41047212,,15505216,41018035
41047219,,15506544,41018039
41047231,,15506548,41018047
41047238,,15506628,41018049
41047245,,21631899,41018069
